Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.054;-;-;1.054;-;-
Wählende;526;49,9 %;-;526.0;49,9 %;-
Ungültige Stimmen;8;1,5 %;-;7.0;1,3 %;-
Gültige Stimmen;518;98,5 %;-;519.0;98,7 %;-
SPD;158;30,5 %;-;149.0;28,7 %;-
AfD;221;42,7 %;-;220.0;42,4 %;-
CDU;76;14,7 %;-;50.0;9,6 %;-
GRÜNE/B 90;10;1,9 %;-;8.0;1,5 %;-
DIE LINKE;16;3,1 %;-;7.0;1,3 %;-
BVB / FREIE WÄHLER;31;6,0 %;-;4.0;0,8 %;-
FDP;5;1,0 %;-;1.0;0,2 %;-
Tierschutzpartei;-;-;-;8.0;1,5 %;-
Plus;-;-;-;6.0;1,2 %;-
BSW;-;-;-;58.0;11,2 %;-
III. Weg;-;-;-;1.0;0,2 %;-
DKP;1;0,2 %;-;2.0;0,4 %;-
DLW;-;-;-;3.0;0,6 %;-
WU;-;-;-;2.0;0,4 %;-
