Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;169;-;-;169;-;-
Wählende;113;66,9 %;-;113;66,9 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;113;100,0 %;-;113;100,0 %;-
SPD;28;24,8 %;-;19;16,8 %;-
AfD;62;54,9 %;-;59;52,2 %;-
CDU;15;13,3 %;-;13;11,5 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;1;0,9 %;-;2;1,8 %;-
BVB / FREIE WÄHLER;5;4,4 %;-;4;3,5 %;-
FDP;2;1,8 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;0,9 %;-
Plus;-;-;-;1;0,9 %;-
BSW;-;-;-;13;11,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;0;0,0 %;-;0;0,0 %;-
DLW;-;-;-;1;0,9 %;-
WU;-;-;-;0;0,0 %;-
