Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;821;-;-;821;-;-
Wählende;440;53,6 %;-17;440;53,6 %;-17
Ungültige Stimmen;4;0,9 %;-91;4;0,9 %;-21
Gültige Stimmen;436;99,1 %;+91;436;99,1 %;+21
SPD;101;23,2 %;+03;81;18,6 %;+15
AfD;261;59,9 %;+599;236;54,1 %;+93
CDU;46;10,6 %;-174;40;9,2 %;-82
GRÜNE/B 90;1;0,2 %;-39;1;0,2 %;-34
DIE LINKE;3;0,7 %;-83;0;0,0 %;-61
BVB / FREIE WÄHLER;20;4,6 %;-78;6;1,4 %;-20
FDP;4;0,9 %;-54;4;0,9 %;-43
Tierschutzpartei;-;-;-;7;1,6 %;-04
Plus;-;-;-;1;0,2 %;+00
BSW;-;-;-;56;12,8 %;+128
III. Weg;-;-;-;2;0,5 %;+05
DKP;0;0,0 %;00;0;0,0 %;00
DLW;-;-;-;2;0,5 %;+05
WU;-;-;-;0;0,0 %;00
