Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;180;-;-;180;-;-
Wählende;129;71,7 %;+49;129;71,7 %;+49
Ungültige Stimmen;0;0,0 %;-59;0;0,0 %;-23
Gültige Stimmen;129;100,0 %;+59;129;100,0 %;+23
SPD;34;26,4 %;-42;27;20,9 %;+12
AfD;60;46,5 %;+465;57;44,2 %;+37
CDU;19;14,7 %;-197;18;14,0 %;-74
GRÜNE/B 90;3;2,3 %;+04;1;0,8 %;-24
DIE LINKE;4;3,1 %;-18;4;3,1 %;-30
BVB / FREIE WÄHLER;6;4,7 %;-38;1;0,8 %;-19
FDP;1;0,8 %;-55;0;0,0 %;-34
Tierschutzpartei;-;-;-;5;3,9 %;+23
Plus;-;-;-;0;0,0 %;-16
BSW;-;-;-;15;11,6 %;+116
III. Weg;-;-;-;0;0,0 %;00
DKP;2;1,6 %;+16;0;0,0 %;00
DLW;-;-;-;1;0,8 %;+08
WU;-;-;-;0;0,0 %;00
