Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;959;-;-;959;-;-
Wählende;378;39,4 %;-;378;39,4 %;-
Ungültige Stimmen;4;1,1 %;-;6;1,6 %;-
Gültige Stimmen;374;98,9 %;-;372;98,4 %;-
SPD;137;36,6 %;-;117;31,5 %;-
AfD;158;42,2 %;-;145;39,0 %;-
CDU;28;7,5 %;-;26;7,0 %;-
GRÜNE/B 90;6;1,6 %;-;8;2,2 %;-
DIE LINKE;16;4,3 %;-;17;4,6 %;-
BVB / FREIE WÄHLER;15;4,0 %;-;8;2,2 %;-
FDP;4;1,1 %;-;3;0,8 %;-
Tierschutzpartei;10;2,7 %;-;7;1,9 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;35;9,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;5;1,3 %;-
WU;-;-;-;0;0,0 %;-
