Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.333;-;-;1.333;-;-
Wählende;613;46,0 %;-;613.0;46,0 %;-
Ungültige Stimmen;11;1,8 %;-;6.0;1,0 %;-
Gültige Stimmen;602;98,2 %;-;607.0;99,0 %;-
SPD;236;39,2 %;-;188.0;31,0 %;-
AfD;227;37,7 %;-;226.0;37,2 %;-
CDU;64;10,6 %;-;50.0;8,2 %;-
GRÜNE/B 90;6;1,0 %;-;6.0;1,0 %;-
DIE LINKE;29;4,8 %;-;21.0;3,5 %;-
BVB / FREIE WÄHLER;18;3,0 %;-;9.0;1,5 %;-
FDP;4;0,7 %;-;1.0;0,2 %;-
Tierschutzpartei;18;3,0 %;-;8.0;1,3 %;-
Plus;-;-;-;3.0;0,5 %;-
BSW;-;-;-;91.0;15,0 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;3.0;0,5 %;-
WU;-;-;-;0.0;0,0 %;-
