Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;916;-;-;916;-;-
Wählende;462;50,4 %;-;462;50,4 %;-
Ungültige Stimmen;8;1,7 %;-;3;0,6 %;-
Gültige Stimmen;454;98,3 %;-;459;99,4 %;-
SPD;188;41,4 %;-;157;34,2 %;-
AfD;179;39,4 %;-;168;36,6 %;-
CDU;45;9,9 %;-;44;9,6 %;-
GRÜNE/B 90;2;0,4 %;-;7;1,5 %;-
DIE LINKE;13;2,9 %;-;8;1,7 %;-
BVB / FREIE WÄHLER;11;2,4 %;-;6;1,3 %;-
FDP;4;0,9 %;-;9;2,0 %;-
Tierschutzpartei;12;2,6 %;-;7;1,5 %;-
Plus;-;-;-;2;0,4 %;-
BSW;-;-;-;47;10,2 %;-
III. Weg;-;-;-;2;0,4 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
