Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;127;-;-;127;-;-
Wählende;98;77,2 %;-;98;77,2 %;-
Ungültige Stimmen;1;1,0 %;-;2;2,0 %;-
Gültige Stimmen;97;99,0 %;-;96;98,0 %;-
SPD;37;38,1 %;-;33;34,4 %;-
AfD;40;41,2 %;-;33;34,4 %;-
CDU;17;17,5 %;-;6;6,2 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;0;0,0 %;-;2;2,1 %;-
BVB / FREIE WÄHLER;2;2,1 %;-;1;1,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;1;1,0 %;-;1;1,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;16;16,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;4;4,2 %;-
WU;-;-;-;0;0,0 %;-
