Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;68;-;-;68;-;-
Wählende;50;73,5 %;-;50;73,5 %;-
Ungültige Stimmen;1;2,0 %;-;1;2,0 %;-
Gültige Stimmen;49;98,0 %;-;49;98,0 %;-
SPD;18;36,7 %;-;9;18,4 %;-
AfD;17;34,7 %;-;17;34,7 %;-
CDU;7;14,3 %;-;4;8,2 %;-
GRÜNE/B 90;0;0,0 %;-;4;8,2 %;-
DIE LINKE;1;2,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;3;6,1 %;-;2;4,1 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;3;6,1 %;-;1;2,0 %;-
Plus;-;-;-;1;2,0 %;-
BSW;-;-;-;10;20,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;2,0 %;-
WU;-;-;-;0;0,0 %;-
