Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;69;-;-;69;-;-
Wählende;50;72,5 %;-;50;72,5 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;50;100,0 %;-;50;100,0 %;-
SPD;23;46,0 %;-;17;34,0 %;-
AfD;11;22,0 %;-;9;18,0 %;-
CDU;9;18,0 %;-;10;20,0 %;-
GRÜNE/B 90;3;6,0 %;-;2;4,0 %;-
DIE LINKE;0;0,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;2;4,0 %;-;0;0,0 %;-
FDP;0;0,0 %;-;1;2,0 %;-
Tierschutzpartei;2;4,0 %;-;1;2,0 %;-
Plus;-;-;-;2;4,0 %;-
BSW;-;-;-;8;16,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
