Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;777;-;-;777;-;-
Wählende;394;50,7 %;-;394;50,7 %;-
Ungültige Stimmen;3;0,8 %;-;1;0,3 %;-
Gültige Stimmen;391;99,2 %;-;393;99,7 %;-
SPD;124;31,7 %;-;118;30,0 %;-
AfD;184;47,1 %;-;177;45,0 %;-
CDU;49;12,5 %;-;36;9,2 %;-
GRÜNE/B 90;2;0,5 %;-;2;0,5 %;-
DIE LINKE;8;2,0 %;-;2;0,5 %;-
BVB / FREIE WÄHLER;11;2,8 %;-;8;2,0 %;-
FDP;4;1,0 %;-;5;1,3 %;-
Tierschutzpartei;9;2,3 %;-;5;1,3 %;-
Plus;-;-;-;2;0,5 %;-
BSW;-;-;-;32;8,1 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;4;1,0 %;-
