Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;742;-;-;742;-;-
Wählende;297;40,0 %;-;297;40,0 %;-
Ungültige Stimmen;3;1,0 %;-;4;1,3 %;-
Gültige Stimmen;294;99,0 %;-;293;98,7 %;-
SPD;99;33,7 %;-;84;28,7 %;-
AfD;138;46,9 %;-;127;43,3 %;-
CDU;18;6,1 %;-;11;3,8 %;-
GRÜNE/B 90;1;0,3 %;-;3;1,0 %;-
DIE LINKE;13;4,4 %;-;6;2,0 %;-
BVB / FREIE WÄHLER;17;5,8 %;-;6;2,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;7;2,4 %;-;3;1,0 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;50;17,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;1;0,3 %;-;2;0,7 %;-
WU;-;-;-;0;0,0 %;-
