Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;112;-;-;112;-;-
Wählende;79;70,5 %;-;79;70,5 %;-
Ungültige Stimmen;1;1,3 %;-;2;2,5 %;-
Gültige Stimmen;78;98,7 %;-;77;97,5 %;-
SPD;24;30,8 %;-;21;27,3 %;-
AfD;38;48,7 %;-;34;44,2 %;-
CDU;5;6,4 %;-;6;7,8 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;7;9,0 %;-;3;3,9 %;-
BVB / FREIE WÄHLER;1;1,3 %;-;3;3,9 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;1;1,3 %;-;1;1,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;8;10,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;2,6 %;-;1;1,3 %;-
WU;-;-;-;0;0,0 %;-
