Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;903;-;-;903;-;-
Wählende;426;47,2 %;-;426;47,2 %;-
Ungültige Stimmen;9;2,1 %;-;5;1,2 %;-
Gültige Stimmen;417;97,9 %;-;421;98,8 %;-
SPD;139;33,3 %;-;140;33,3 %;-
AfD;179;42,9 %;-;163;38,7 %;-
CDU;49;11,8 %;-;34;8,1 %;-
GRÜNE/B 90;5;1,2 %;-;4;1,0 %;-
DIE LINKE;22;5,3 %;-;7;1,7 %;-
BVB / FREIE WÄHLER;12;2,9 %;-;8;1,9 %;-
FDP;1;0,2 %;-;0;0,0 %;-
Tierschutzpartei;9;2,2 %;-;9;2,1 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;49;11,6 %;-
III. Weg;-;-;-;3;0,7 %;-
DKP;-;-;-;0;0,0 %;-
DLW;1;0,2 %;-;4;1,0 %;-
WU;-;-;-;0;0,0 %;-
