Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;484;-;-;484;-;-
Wählende;297;61,4 %;-;297;61,4 %;-
Ungültige Stimmen;2;0,7 %;-;1;0,3 %;-
Gültige Stimmen;295;99,3 %;-;296;99,7 %;-
SPD;74;25,1 %;-;91;30,7 %;-
AfD;139;47,1 %;-;126;42,6 %;-
CDU;61;20,7 %;-;34;11,5 %;-
GRÜNE/B 90;0;0,0 %;-;1;0,3 %;-
DIE LINKE;7;2,4 %;-;1;0,3 %;-
BVB / FREIE WÄHLER;1;0,3 %;-;3;1,0 %;-
FDP;5;1,7 %;-;4;1,4 %;-
Tierschutzpartei;7;2,4 %;-;1;0,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;34;11,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;1;0,3 %;-;1;0,3 %;-
WU;-;-;-;0;0,0 %;-
