Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;436;-;-;436;-;-
Wählende;273;62,6 %;-12;273;62,6 %;-12
Ungültige Stimmen;5;1,8 %;-06;4;1,5 %;+08
Gültige Stimmen;268;98,2 %;+06;269;98,5 %;-08
SPD;95;35,4 %;+105;80;29,7 %;+56
AfD;112;41,8 %;+104;102;37,9 %;+74
CDU;37;13,8 %;-68;28;10,4 %;-102
GRÜNE/B 90;4;1,5 %;-68;6;2,2 %;-27
DIE LINKE;6;2,2 %;-68;5;1,9 %;-74
BVB / FREIE WÄHLER;4;1,5 %;-28;2;0,7 %;-39
FDP;1;0,4 %;-11;0;0,0 %;-32
Tierschutzpartei;6;2,2 %;+22;4;1,5 %;-03
Plus;-;-;-;0;0,0 %;-11
BSW;-;-;-;40;14,9 %;+149
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;3;1,1 %;+11;2;0,7 %;+07
WU;-;-;-;0;0,0 %;00
