Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;77;-;-;77;-;-
Wählende;44;57,1 %;-;44;57,1 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;44;100,0 %;-;44;100,0 %;-
SPD;14;31,8 %;-;11;25,0 %;-
AfD;22;50,0 %;-;21;47,7 %;-
CDU;2;4,5 %;-;2;4,5 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;2;4,5 %;-;1;2,3 %;-
BVB / FREIE WÄHLER;1;2,3 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;2,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;6;13,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;2,3 %;-
WU;-;-;-;1;2,3 %;-
Die PARTEI;3;6,8 %;-;-;-;-
