Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.082;-;-;1.082;-;-
Wählende;391;36,1 %;-;391;36,1 %;-
Ungültige Stimmen;8;2,0 %;-;13;3,3 %;-
Gültige Stimmen;383;98,0 %;-;378;96,7 %;-
SPD;173;45,2 %;-;136;36,0 %;-
AfD;168;43,9 %;-;161;42,6 %;-
CDU;16;4,2 %;-;21;5,6 %;-
GRÜNE/B 90;2;0,5 %;-;3;0,8 %;-
DIE LINKE;10;2,6 %;-;11;2,9 %;-
BVB / FREIE WÄHLER;9;2,3 %;-;4;1,1 %;-
FDP;3;0,8 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;5;1,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;30;7,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;5;1,3 %;-
Die PARTEI;2;0,5 %;-;-;-;-
