Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;973;-;-;973;-;-
Wählende;520;53,4 %;-;520;53,4 %;-
Ungültige Stimmen;5;1,0 %;-;4;0,8 %;-
Gültige Stimmen;515;99,0 %;-;516;99,2 %;-
SPD;216;41,9 %;-;153;29,7 %;-
AfD;248;48,2 %;-;238;46,1 %;-
CDU;26;5,0 %;-;35;6,8 %;-
GRÜNE/B 90;0;0,0 %;-;7;1,4 %;-
DIE LINKE;5;1,0 %;-;9;1,7 %;-
BVB / FREIE WÄHLER;13;2,5 %;-;5;1,0 %;-
FDP;5;1,0 %;-;6;1,2 %;-
Tierschutzpartei;-;-;-;6;1,2 %;-
Plus;-;-;-;1;0,2 %;-
BSW;-;-;-;54;10,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
Die PARTEI;2;0,4 %;-;-;-;-
