Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.123;-;-;1.123;-;-
Wählende;576;51,3 %;-;576;51,3 %;-
Ungültige Stimmen;7;1,2 %;-;9;1,6 %;-
Gültige Stimmen;569;98,8 %;-;567;98,4 %;-
SPD;215;37,8 %;-;163;28,7 %;-
AfD;294;51,7 %;-;284;50,1 %;-
CDU;30;5,3 %;-;36;6,3 %;-
GRÜNE/B 90;0;0,0 %;-;3;0,5 %;-
DIE LINKE;5;0,9 %;-;5;0,9 %;-
BVB / FREIE WÄHLER;21;3,7 %;-;16;2,8 %;-
FDP;2;0,4 %;-;2;0,4 %;-
Tierschutzpartei;-;-;-;5;0,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;51;9,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
Die PARTEI;2;0,4 %;-;-;-;-
