Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.011;-;-;1.011;-;-
Wählende;477;47,2 %;-;477;47,2 %;-
Ungültige Stimmen;11;2,3 %;-;10;2,1 %;-
Gültige Stimmen;466;97,7 %;-;467;97,9 %;-
SPD;180;38,6 %;-;123;26,3 %;-
AfD;212;45,5 %;-;192;41,1 %;-
CDU;38;8,2 %;-;37;7,9 %;-
GRÜNE/B 90;1;0,2 %;-;1;0,2 %;-
DIE LINKE;15;3,2 %;-;15;3,2 %;-
BVB / FREIE WÄHLER;11;2,4 %;-;13;2,8 %;-
FDP;6;1,3 %;-;3;0,6 %;-
Tierschutzpartei;-;-;-;12;2,6 %;-
Plus;-;-;-;2;0,4 %;-
BSW;-;-;-;66;14,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;2;0,4 %;-
Die PARTEI;3;0,6 %;-;-;-;-
