Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;335;-;-;335;-;-
Wählende;228;68,1 %;-;228;68,1 %;-
Ungültige Stimmen;3;1,3 %;-;3;1,3 %;-
Gültige Stimmen;225;98,7 %;-;225;98,7 %;-
SPD;67;29,8 %;-;39;17,3 %;-
AfD;112;49,8 %;-;117;52,0 %;-
CDU;25;11,1 %;-;22;9,8 %;-
GRÜNE/B 90;0;0,0 %;-;1;0,4 %;-
DIE LINKE;2;0,9 %;-;4;1,8 %;-
BVB / FREIE WÄHLER;10;4,4 %;-;3;1,3 %;-
FDP;2;0,9 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;7;3,1 %;-
Plus;-;-;-;1;0,4 %;-
BSW;-;-;-;30;13,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,4 %;-
WU;-;-;-;0;0,0 %;-
Die PARTEI;7;3,1 %;-;-;-;-
