Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;952;-;-;952;-;-
Wählende;475;49,9 %;-;475;49,9 %;-
Ungültige Stimmen;6;1,3 %;-;4;0,8 %;-
Gültige Stimmen;469;98,7 %;-;471;99,2 %;-
SPD;148;31,6 %;-;104;22,1 %;-
AfD;263;56,1 %;-;253;53,7 %;-
CDU;29;6,2 %;-;32;6,8 %;-
GRÜNE/B 90;3;0,6 %;-;5;1,1 %;-
DIE LINKE;11;2,3 %;-;10;2,1 %;-
BVB / FREIE WÄHLER;11;2,3 %;-;8;1,7 %;-
FDP;2;0,4 %;-;4;0,8 %;-
Tierschutzpartei;-;-;-;8;1,7 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;45;9,6 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
Die PARTEI;2;0,4 %;-;-;-;-
