Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;231;-;-;231;-;-
Wählende;166;71,9 %;-;166;71,9 %;-
Ungültige Stimmen;2;1,2 %;-;1;0,6 %;-
Gültige Stimmen;164;98,8 %;-;165;99,4 %;-
SPD;43;26,2 %;-;38;23,0 %;-
AfD;91;55,5 %;-;83;50,3 %;-
CDU;15;9,1 %;-;13;7,9 %;-
GRÜNE/B 90;1;0,6 %;-;3;1,8 %;-
DIE LINKE;3;1,8 %;-;3;1,8 %;-
BVB / FREIE WÄHLER;10;6,1 %;-;4;2,4 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;3;1,8 %;-
Plus;-;-;-;1;0,6 %;-
BSW;-;-;-;16;9,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,6 %;-
WU;-;-;-;0;0,0 %;-
EB Hoffmann;1;0,6 %;-;-;-;-
