Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;133;-;-;133;-;-
Wählende;95;71,4 %;-;95;71,4 %;-
Ungültige Stimmen;2;2,1 %;-;2;2,1 %;-
Gültige Stimmen;93;97,9 %;-;93;97,9 %;-
SPD;20;21,5 %;-;17;18,3 %;-
AfD;55;59,1 %;-;48;51,6 %;-
CDU;3;3,2 %;-;5;5,4 %;-
GRÜNE/B 90;1;1,1 %;-;0;0,0 %;-
DIE LINKE;7;7,5 %;-;3;3,2 %;-
BVB / FREIE WÄHLER;4;4,3 %;-;1;1,1 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;2,2 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;16;17,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;1,1 %;-
EB Hoffmann;3;3,2 %;-;-;-;-
