Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;206;-;-;206;-;-
Wählende;136;66,0 %;-;136;66,0 %;-
Ungültige Stimmen;1;0,7 %;-;1;0,7 %;-
Gültige Stimmen;135;99,3 %;-;135;99,3 %;-
SPD;37;27,4 %;-;37;27,4 %;-
AfD;72;53,3 %;-;62;45,9 %;-
CDU;10;7,4 %;-;4;3,0 %;-
GRÜNE/B 90;2;1,5 %;-;2;1,5 %;-
DIE LINKE;3;2,2 %;-;1;0,7 %;-
BVB / FREIE WÄHLER;8;5,9 %;-;5;3,7 %;-
FDP;3;2,2 %;-;1;0,7 %;-
Tierschutzpartei;-;-;-;4;3,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;19;14,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Hoffmann;0;0,0 %;-;-;-;-
