Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.115;-;-;1.115;-;-
Wählende;499;44,8 %;-;499;44,8 %;-
Ungültige Stimmen;10;2,0 %;-;7;1,4 %;-
Gültige Stimmen;489;98,0 %;-;492;98,6 %;-
SPD;104;21,3 %;-;102;20,7 %;-
AfD;266;54,4 %;-;237;48,2 %;-
CDU;55;11,2 %;-;42;8,5 %;-
GRÜNE/B 90;6;1,2 %;-;5;1,0 %;-
DIE LINKE;19;3,9 %;-;5;1,0 %;-
BVB / FREIE WÄHLER;23;4,7 %;-;10;2,0 %;-
FDP;9;1,8 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;17;3,5 %;-
Plus;-;-;-;2;0,4 %;-
BSW;-;-;-;66;13,4 %;-
III. Weg;-;-;-;3;0,6 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;0,4 %;-
EB Hoffmann;7;1,4 %;-;-;-;-
