Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;706;-;-;706;-;-
Wählende;402;56,9 %;-;402;56,9 %;-
Ungültige Stimmen;5;1,2 %;-;3;0,7 %;-
Gültige Stimmen;397;98,8 %;-;399;99,3 %;-
SPD;123;31,0 %;-;118;29,6 %;-
AfD;191;48,1 %;-;178;44,6 %;-
CDU;41;10,3 %;-;27;6,8 %;-
GRÜNE/B 90;2;0,5 %;-;5;1,3 %;-
DIE LINKE;23;5,8 %;-;6;1,5 %;-
BVB / FREIE WÄHLER;11;2,8 %;-;3;0,8 %;-
FDP;6;1,5 %;-;3;0,8 %;-
Tierschutzpartei;-;-;-;8;2,0 %;-
Plus;-;-;-;2;0,5 %;-
BSW;-;-;-;45;11,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;3;0,8 %;-
EB Hoffmann;0;0,0 %;-;-;-;-
