Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;308;-;-;308;-;-
Wählende;211;68,5 %;-;211;68,5 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;211;100,0 %;-;211;100,0 %;-
SPD;43;20,4 %;-;37;17,5 %;-
AfD;127;60,2 %;-;117;55,5 %;-
CDU;26;12,3 %;-;20;9,5 %;-
GRÜNE/B 90;1;0,5 %;-;1;0,5 %;-
DIE LINKE;4;1,9 %;-;1;0,5 %;-
BVB / FREIE WÄHLER;6;2,8 %;-;1;0,5 %;-
FDP;3;1,4 %;-;1;0,5 %;-
Tierschutzpartei;-;-;-;4;1,9 %;-
Plus;-;-;-;1;0,5 %;-
BSW;-;-;-;28;13,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Hoffmann;1;0,5 %;-;-;-;-
