Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;94;-;-;94;-;-
Wählende;62;66,0 %;-;62;66,0 %;-
Ungültige Stimmen;1;1,6 %;-;0;0,0 %;-
Gültige Stimmen;61;98,4 %;-;62;100,0 %;-
SPD;14;23,0 %;-;11;17,7 %;-
AfD;36;59,0 %;-;35;56,5 %;-
CDU;9;14,8 %;-;9;14,5 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;0;0,0 %;-;1;1,6 %;-
BVB / FREIE WÄHLER;1;1,6 %;-;1;1,6 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;4;6,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;1,6 %;-
EB Hoffmann;1;1,6 %;-;-;-;-
