Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;176;-;-;176;-;-
Wählende;104;59,1 %;-;104;59,1 %;-
Ungültige Stimmen;3;2,9 %;-;1;1,0 %;-
Gültige Stimmen;101;97,1 %;-;103;99,0 %;-
SPD;23;22,8 %;-;21;20,4 %;-
AfD;60;59,4 %;-;63;61,2 %;-
CDU;13;12,9 %;-;8;7,8 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;2;2,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;1;1,0 %;-;0;0,0 %;-
FDP;2;2,0 %;-;1;1,0 %;-
Tierschutzpartei;-;-;-;2;1,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;6;5,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;1,9 %;-
EB Hoffmann;0;0,0 %;-;-;-;-
