Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;637;-;-;637;-;-
Wählende;394;61,9 %;-;394;61,9 %;-
Ungültige Stimmen;4;1,0 %;-;4;1,0 %;-
Gültige Stimmen;390;99,0 %;-;390;99,0 %;-
SPD;90;23,1 %;-;86;22,1 %;-
AfD;231;59,2 %;-;220;56,4 %;-
CDU;34;8,7 %;-;24;6,2 %;-
GRÜNE/B 90;2;0,5 %;-;2;0,5 %;-
DIE LINKE;8;2,1 %;-;3;0,8 %;-
BVB / FREIE WÄHLER;18;4,6 %;-;3;0,8 %;-
FDP;2;0,5 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;4;1,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;42;10,8 %;-
III. Weg;-;-;-;2;0,5 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;3;0,8 %;-
EB Hoffmann;5;1,3 %;-;-;-;-
