Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;233;-;-;233;-;-
Wählende;157;67,4 %;-;157;67,4 %;-
Ungültige Stimmen;4;2,5 %;-;1;0,6 %;-
Gültige Stimmen;153;97,5 %;-;156;99,4 %;-
SPD;45;29,4 %;-;42;26,9 %;-
AfD;71;46,4 %;-;68;43,6 %;-
CDU;15;9,8 %;-;15;9,6 %;-
GRÜNE/B 90;1;0,7 %;-;0;0,0 %;-
DIE LINKE;8;5,2 %;-;3;1,9 %;-
BVB / FREIE WÄHLER;8;5,2 %;-;2;1,3 %;-
FDP;2;1,3 %;-;2;1,3 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;24;15,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Hoffmann;3;2,0 %;-;-;-;-
