Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;210;-;-;210;-;-
Wählende;133;63,3 %;-;133;63,3 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;133;100,0 %;-;133;100,0 %;-
SPD;32;24,1 %;-;34;25,6 %;-
AfD;74;55,6 %;-;64;48,1 %;-
CDU;11;8,3 %;-;6;4,5 %;-
GRÜNE/B 90;0;0,0 %;-;1;0,8 %;-
DIE LINKE;4;3,0 %;-;1;0,8 %;-
BVB / FREIE WÄHLER;10;7,5 %;-;2;1,5 %;-
FDP;1;0,8 %;-;1;0,8 %;-
Tierschutzpartei;-;-;-;2;1,5 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;22;16,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
EB Hoffmann;1;0,8 %;-;-;-;-
