Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.375;-;-;1.375;-;-
Wählende;594;43,2 %;-;594;43,2 %;-
Ungültige Stimmen;6;1,0 %;-;3;0,5 %;-
Gültige Stimmen;588;99,0 %;-;591;99,5 %;-
SPD;166;28,2 %;-;166;28,1 %;-
AfD;281;47,8 %;-;254;43,0 %;-
CDU;56;9,5 %;-;31;5,2 %;-
GRÜNE/B 90;2;0,3 %;-;2;0,3 %;-
DIE LINKE;25;4,3 %;-;18;3,0 %;-
BVB / FREIE WÄHLER;22;3,7 %;-;10;1,7 %;-
FDP;4;0,7 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;11;1,9 %;-
Plus;10;1,7 %;-;2;0,3 %;-
BSW;-;-;-;84;14,2 %;-
III. Weg;-;-;-;6;1,0 %;-
DKP;4;0,7 %;-;2;0,3 %;-
DLW;-;-;-;2;0,3 %;-
WU;-;-;-;3;0,5 %;-
Demokraten BB;18;3,1 %;-;-;-;-
