Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.119;-;-;1.119;-;-
Wählende;556;49,7 %;-;556.0;49,7 %;-
Ungültige Stimmen;10;1,8 %;-;4.0;0,7 %;-
Gültige Stimmen;546;98,2 %;-;552.0;99,3 %;-
SPD;170;31,1 %;-;157.0;28,4 %;-
AfD;290;53,1 %;-;248.0;44,9 %;-
CDU;50;9,2 %;-;57.0;10,3 %;-
GRÜNE/B 90;1;0,2 %;-;2.0;0,4 %;-
DIE LINKE;20;3,7 %;-;11.0;2,0 %;-
BVB / FREIE WÄHLER;9;1,6 %;-;9.0;1,6 %;-
FDP;6;1,1 %;-;1.0;0,2 %;-
Tierschutzpartei;-;-;-;6.0;1,1 %;-
Plus;-;-;-;0.0;0,0 %;-
BSW;-;-;-;57.0;10,3 %;-
III. Weg;-;-;-;1.0;0,2 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;2.0;0,4 %;-
