Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;42.083;-;-;42.083;-;-
Wählende;29.066;69,1 %;+107;29.066;69,1 %;+107
Ungültige Stimmen;453;1,6 %;-01;314.0;1,1 %;-04
Gültige Stimmen;28.613;98,4 %;+01;28.752;98,9 %;+04
SPD;9.335;32,6 %;+61;8.917;31,0 %;-05
AfD;9.860;34,5 %;+138;9.308;32,4 %;+98
CDU;5.222;18,3 %;-37;3.807;13,2 %;-50
GRÜNE/B 90;366;1,3 %;-52;555.0;1,9 %;-50
DIE LINKE;1.923;6,7 %;-73;899.0;3,1 %;-69
BVB / FREIE WÄHLER;1.496;5,2 %;-20;667.0;2,3 %;-22
FDP;190;0,7 %;-24;115.0;0,4 %;-30
Tierschutzpartei;-;-;-;382.0;1,3 %;-07
Plus;-;-;-;128.0;0,4 %;-04
BSW;-;-;-;3.712;12,9 %;+129
III. Weg;221;0,8 %;+08;103.0;0,4 %;+04
DKP;-;-;-;7.0;0,0 %;+00
DLW;-;-;-;117.0;0,4 %;+04
WU;-;-;-;35.0;0,1 %;+01
