Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;53.960;-;-;53.960;-;-
Wählende;43.256;80,2 %;+102;43.256;80,2 %;+102
Ungültige Stimmen;438;1,0 %;+00;227;0,5 %;-02
Gültige Stimmen;42.818;99,0 %;-00;43.029;99,5 %;+02
SPD;17.025;39,8 %;+138;14.789;34,4 %;+94
AfD;8.758;20,5 %;+52;8.151;18,9 %;+27
CDU;7.594;17,7 %;-26;6.209;14,4 %;-29
GRÜNE/B 90;3.339;7,8 %;-92;4.183;9,7 %;-89
DIE LINKE;2.104;4,9 %;-69;1.628;3,8 %;-63
BVB / FREIE WÄHLER;1.740;4,1 %;-11;815;1,9 %;-17
FDP;929;2,2 %;-15;560;1,3 %;-37
Tierschutzpartei;-;-;-;837;1,9 %;-04
Plus;977;2,3 %;+23;722;1,7 %;+01
BSW;-;-;-;4.858;11,3 %;+113
III. Weg;-;-;-;21;0,0 %;+00
DKP;-;-;-;25;0,1 %;+01
DLW;-;-;-;82;0,2 %;+02
WU;-;-;-;149;0,3 %;+03
EB Müller;352;0,8 %;+01;-;-;-
