Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;48.510;-;-;48.51;-;-
Wählende;34.675;71,5 %;+149;34.675;71,5 %;+149
Ungültige Stimmen;482;1,4 %;+01;308.0;0,9 %;-05
Gültige Stimmen;34.193;98,6 %;-01;34.367;99,1 %;+05
SPD;10.996;32,2 %;+63;9.659;28,1 %;+23
AfD;11.440;33,5 %;+119;10.127;29,5 %;+69
CDU;4.335;12,7 %;-42;3.599;10,5 %;-26
GRÜNE/B 90;755;2,2 %;-59;1.052;3,1 %;-65
DIE LINKE;3.190;9,3 %;-77;1.378;4,0 %;-119
BVB / FREIE WÄHLER;2.895;8,5 %;+17;959.0;2,8 %;-26
FDP;582;1,7 %;-14;284.0;0,8 %;-26
Tierschutzpartei;-;-;-;913.0;2,7 %;-02
Plus;-;-;-;345.0;1,0 %;-02
BSW;-;-;-;5.793;16,9 %;+169
III. Weg;-;-;-;36.0;0,1 %;+01
DKP;-;-;-06;32.0;0,1 %;+01
DLW;-;-;-;105.0;0,3 %;+03
WU;-;-;-;85.0;0,2 %;+02
